Entity,Code,Year,Share under $2 per day,Share under $20 per day,Share under $5 per day,Share under $10 per day,Share under $5.2 a day (roughly equivalent to the international poverty line)
Mexico,MEX,2005,0.0891193334128657,36.5913606264995,2.18280149747975,11.8992706008515,2.44192558158961
Mexico,MEX,2010,0.0161410795870469,29.1678431069376,0.857604251138805,7.13296385939722,0.986304343033067
Mexico,MEX,2017,0.126646869982331,32.6615699639885,2.29325530037409,11.0673323339592,2.54183764153037
Moldova,MDA,1820,73.2120709857396,99.9524592594432,95.4283609209641,99.3724982876026,95.8508116338909
Moldova,MDA,1850,59.5922443749991,99.9996814761608,97.3953722383169,99.9376784918666,97.8053739005718
Moldova,MDA,1870,62.8877034370929,99.3432661013439,88.1978531687815,96.6562716236535,88.9066359869343
Moldova,MDA,1890,31.9762937816528,99.8941234846957,82.6642571443421,97.7630852884953,84.1660475612245
Moldova,MDA,1910,16.9870290318119,98.649480623275,61.9900038137037,89.5857087042482,64.0257286032137
Moldova,MDA,1929,19.1838428086261,98.1001647937429,61.8369908592989,88.2592421052958,63.734953163707
Moldova,MDA,1950,2.90654326954854,87.9465971268357,25.0087202314081,59.8340108100706,26.6979620297518
Moldova,MDA,1960,0.000404110061311846,79.9337493545875,0.931090111636866,22.4560962862766,1.18270465066724
Moldova,MDA,1970,0.00000722787983855821,51.710615654282,0.0818081251783612,6.01823112821825,0.111013819042696
Moldova,MDA,1980,0.0000011546685877397,38.7892086835527,0.0253442868829448,2.99890803818594,0.0353595581289213
Moldova,MDA,1990,0.000172935026595931,38.3103648515054,0.179106804988388,5.42396892897503,0.22642061614781
Moldova,MDA,2000,12.0766264881721,92.7419126408629,45.011203827804,74.7207734326267,46.787420226226
Moldova,MDA,2005,6.33597783203302,86.5212712631787,31.5577009927859,62.2468263234608,33.1677819909747
Moldova,MDA,2010,4.78720048332485,83.1832711726315,26.7514718147171,56.770843257773,28.2444297558938
Moldova,MDA,2017,1.51178972975423,71.6747052482526,14.0839475822209,40.0646070787159,15.1532996770084
Mongolia,MNG,1820,87.2624015992257,99.9836995505775,98.2817168683388,99.7846327822043,98.4519308582104
Mongolia,MNG,1850,89.8031634314854,99.9999074441488,99.6123663484325,99.9898736989546,99.6758033635577
Mongolia,MNG,1870,87.0280166809212,99.9966111952699,98.8223097280871,99.9108388731366,98.9638177530666
Mongolia,MNG,1890,83.7121917314981,99.9993627498289,99.005529334521,99.9590707299004,99.1484315800124
